Delta Time, X Point, Y Point, Position, Velocity, Acceleration, Jerk, Heading, 
50, 4.665973, 7.149092, 1.872442, 1.050286, -0.209309, -0.114050, 0.796146, 
50, 4.702556, 7.186015, 1.924419, 1.039542, -0.214892, -0.111659, 0.783688, 
50, 4.739225, 7.222070, 1.975845, 1.028516, -0.220512, -0.112398, 0.769962, 
50, 4.775999, 7.257205, 2.026705, 1.017200, -0.226318, -0.116124, 0.755020, 
50, 4.812888, 7.291369, 2.076984, 1.005578, -0.232450, -0.122647, 0.738914, 
50, 4.849895, 7.324515, 2.126665, 0.993626, -0.239036, -0.131719, 0.721699, 
50, 4.887019, 7.356597, 2.175731, 0.981317, -0.246187, -0.143019, 0.703438, 
50, 4.924250, 7.387572, 2.224162, 0.968617, -0.253994, -0.156144, 0.684196, 
50, 4.961572, 7.417397, 2.271936, 0.955491, -0.262524, -0.170596, 0.664048, 
50, 4.998959, 7.446034, 2.319031, 0.941900, -0.271814, -0.185797, 0.643072, 
50, 5.036381, 7.473451, 2.365422, 0.927807, -0.281868, -0.201088, 0.621355, 
50, 5.073798, 7.499617, 2.411080, 0.913174, -0.292656, -0.215760, 0.598988, 
50, 5.111166, 7.524507, 2.455979, 0.897968, -0.304110, -0.229081, 0.576071, 
50, 5.148432, 7.548103, 2.500087, 0.882162, -0.316127, -0.240339, 0.552705, 
50, 5.185539, 7.570392, 2.543374, 0.865733, -0.328572, -0.248884, 0.528998, 
50, 5.222425, 7.591369, 2.585807, 0.848669, -0.341280, -0.254178, 0.505059, 
50, 5.259024, 7.611036, 2.627355, 0.830966, -0.354072, -0.255828, 0.480996, 
50, 5.295268, 7.629401, 2.667987, 0.812628, -0.366753, -0.253622, 0.456918, 
50, 5.331087, 7.646482, 2.707670, 0.793672, -0.379130, -0.247542, 0.432931, 
50, 5.366413, 7.662302, 2.746376, 0.774121, -0.391018, -0.237763, 0.409138, 
50, 5.401175, 7.676893, 2.784077, 0.754008, -0.402250, -0.224638, 0.385634, 
50, 5.435307, 7.690293, 2.820745, 0.733374, -0.412683, -0.208664, 0.362508, 
50, 5.468747, 7.702544, 2.856359, 0.712264, -0.422205, -0.190442, 0.339843, 
50, 5.501433, 7.713696, 2.890895, 0.690727, -0.430737, -0.170629, 0.317711, 
50, 5.533311, 7.723800, 2.924336, 0.668815, -0.438232, -0.149897, 0.296175, 
