Delta Time, X Point, Y Point, Position, Velocity, Acceleration, Jerk, Heading, 
50, 4.492523, 6.292100, 1.492553, 0.974645, 0.244681, -1.631206, 0.000000, 
50, 4.541318, 6.292100, 1.541348, 0.975889, 0.024873, -4.396157, 0.000000, 
50, 4.589625, 6.292100, 1.589655, 0.966142, -0.194935, -4.396157, 0.000000, 
50, 4.637178, 6.292100, 1.637208, 0.951074, -0.301368, -2.128665, 0.000000, 
50, 4.683916, 6.292100, 1.683946, 0.934762, -0.326241, -0.497460, 0.000000, 
50, 4.729839, 6.292100, 1.729869, 0.918450, -0.326241, 0.000000, 0.000000, 
50, 4.774946, 6.292100, 1.774976, 0.902138, -0.326241, -0.000000, 0.000000, 
50, 4.819237, 6.292100, 1.819267, 0.885826, -0.326241, 0.000000, 0.000000, 
50, 4.862713, 6.292100, 1.862743, 0.869514, -0.326241, -0.000000, 0.000000, 
50, 4.905373, 6.292100, 1.905403, 0.853201, -0.326241, 0.000000, 0.000000, 
50, 4.947217, 6.292100, 1.947247, 0.836889, -0.326241, 0.000000, 0.000000, 
50, 4.988246, 6.292100, 1.988276, 0.820577, -0.326241, -0.000000, 0.000000, 
50, 5.028459, 6.292100, 2.028489, 0.804265, -0.326241, 0.000000, 0.000000, 
50, 5.067857, 6.292100, 2.067887, 0.787953, -0.326241, 0.000000, 0.000000, 
50, 5.106439, 6.292100, 2.106469, 0.771641, -0.326241, -0.000000, 0.000000, 
50, 5.144206, 6.292100, 2.144236, 0.755329, -0.326241, 0.000000, 0.000000, 
50, 5.181156, 6.292100, 2.181186, 0.739017, -0.326241, -0.000000, 0.000000, 
50, 5.217292, 6.292100, 2.217322, 0.722705, -0.326241, 0.000000, 0.000000, 
50, 5.252611, 6.292100, 2.252641, 0.706393, -0.326241, 0.000000, 0.000000, 
50, 5.287115, 6.292100, 2.287145, 0.690081, -0.326241, 0.000000, 0.000000, 
50, 5.320804, 6.292100, 2.320834, 0.673769, -0.326241, 0.000000, 0.000000, 
50, 5.353677, 6.292100, 2.353707, 0.657457, -0.326241, -0.000000, 0.000000, 
50, 5.385734, 6.292100, 2.385764, 0.641145, -0.326241, 0.000000, 0.000000, 
50, 5.416976, 6.292100, 2.417006, 0.624833, -0.326241, 0.000000, 0.000000, 
50, 5.447402, 6.292100, 2.447432, 0.608521, -0.326241, -0.000000, 0.000000, 
50, 5.477012, 6.292100, 2.477042, 0.592209, -0.326241, 0.000000, 0.000000, 
50, 5.505807, 6.292100, 2.505837, 0.575897, -0.326241, 0.000000, 0.000000, 
50, 5.533786, 6.292100, 2.533816, 0.559584, -0.326241, 0.000000, 0.000000, 
50, 5.560950, 6.292100, 2.560980, 0.543272, -0.326241, -0.000000, 0.000000, 
50, 5.587298, 6.292100, 2.587328, 0.526960, -0.326241, 0.000000, 0.000000, 
50, 5.612830, 6.292100, 2.612860, 0.510648, -0.326241, -0.000000, 0.000000, 
50, 5.637547, 6.292100, 2.637577, 0.494336, -0.326241, 0.000000, 0.000000, 
50, 5.661448, 6.292100, 2.661478, 0.478024, -0.326241, -0.000000, 0.000000, 
50, 5.684534, 6.292100, 2.684564, 0.461712, -0.326241, 0.000000, 0.000000, 
50, 5.706804, 6.292100, 2.706834, 0.445400, -0.326241, 0.000000, 0.000000, 
50, 5.728258, 6.292100, 2.728288, 0.429088, -0.326241, -0.000000, 0.000000, 
50, 5.748897, 6.292100, 2.748927, 0.412776, -0.326241, 0.000000, 0.000000, 
50, 5.768720, 6.292100, 2.768750, 0.396464, -0.326241, 0.000000, 0.000000, 
50, 5.787728, 6.292100, 2.787758, 0.380152, -0.326241, 0.000000, 0.000000, 
50, 5.805920, 6.292100, 2.805950, 0.363840, -0.326241, -0.000000, 0.000000, 
50, 5.823296, 6.292100, 2.823326, 0.347528, -0.326241, 0.000000, 0.000000, 
50, 5.839857, 6.292100, 2.839887, 0.331216, -0.326241, 0.000000, 0.000000, 
50, 5.855602, 6.292100, 2.855632, 0.314904, -0.326241, -0.000000, 0.000000, 
50, 5.870532, 6.292100, 2.870562, 0.298592, -0.326241, 0.000000, 0.000000, 
50, 5.884646, 6.292100, 2.884676, 0.282280, -0.326241, 0.000000, 0.000000, 
50, 5.897944, 6.292100, 2.897974, 0.265967, -0.326241, -0.000000, 0.000000, 
50, 5.910427, 6.292100, 2.910457, 0.249655, -0.326241, 0.000000, 0.000000, 
50, 5.922094, 6.292100, 2.922124, 0.233343, -0.326241, 0.000000, 0.000000, 
50, 5.932946, 6.292100, 2.932976, 0.217031, -0.326241, -0.000000, 0.000000, 
50, 5.942982, 6.292100, 2.943012, 0.200719, -0.326241, 0.000000, 0.000000, 
50, 5.952202, 6.292100, 2.952232, 0.184407, -0.326241, 0.000000, 0.000000, 
50, 5.960607, 6.292100, 2.960637, 0.168095, -0.326241, -0.000000, 0.000000, 
50, 5.968196, 6.292100, 2.968226, 0.151783, -0.326241, 0.000000, 0.000000, 
50, 5.974969, 6.292100, 2.974999, 0.135471, -0.326241, 0.000000, 0.000000, 
50, 5.980927, 6.292100, 2.980957, 0.119159, -0.326241, -0.000000, 0.000000, 
50, 5.986070, 6.292100, 2.986100, 0.102847, -0.326241, 0.000000, 0.000000, 
50, 5.990396, 6.292100, 2.990426, 0.086535, -0.326241, 0.000000, 0.000000, 
50, 5.993908, 6.292100, 2.993938, 0.070223, -0.326241, 0.000000, 0.000000, 
50, 5.996603, 6.292100, 2.996633, 0.053911, -0.326241, -0.000000, 0.000000, 
50, 5.998483, 6.292100, 2.998513, 0.037599, -0.326241, 0.000000, 0.000000, 
50, 5.999547, 6.292100, 2.999577, 0.021287, -0.326241, 0.000000, 0.000000, 
50, 5.999938, 6.292100, 2.999968, 0.007809, -0.269554, 1.133746, 0.000000, 
50, 6.000000, 6.292100, 3.000030, 0.001244, -0.131306, 2.764951, 0.000000, 
50, 6.000000, 6.292100, 3.000030, 0.000000, -0.024873, 2.128665, 0.000000, 
